Dataset,Classifier,n_neighbors,weights,algorithm,leaf_size,p,metric,bootstrap,C,kernel,degree,gamma,coef0,shrinking,shrinkage,class_weight,decision_function_shape,random_state,criterion,splitter,max_depth,min_samples_split,min_samples_leaf,oob_score,warm_start,learning_rate,n_restarts_optimizer,max_iter_predict,max_features,copy_X_train,multi_class,reg_param,tol,loss,subsample,min_weight_fraction_leaf,n_estimators,penalty,dual,fit_intercept,intercept_scaling,solver,max_iter,alpha,shuffle,max_leaf_nodes,early_stopping,n_iter_no_change,fit_prior,norm,eta0,var_smoothing,presort,min_impurity_decrease,Train accuracy,Train recall,Train precision,Train f1_score,Train time,Test accuracy,Test recall,Test precision,Test f1_score,Test time
Datasets_all/phpyM5ND4.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,0,,,,,,,False,,5,242,,True,one_vs_one,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.4402846319135278,0.9502164502164502,0.9502164502164502,0.9502164502164502,0.9502164502164502,0.5505691268481314
Datasets_all/phpyM5ND4.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,0,,,,,,,False,,0,172,,False,one_vs_rest,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,10.056268068030477,0.6277056277056277,0.6277056277056277,0.6277056277056277,0.6277056277056277,0.8384954759385437
Datasets_all/phpyM5ND4.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,0,,,,,,,False,,0,242,,True,one_vs_rest,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,10.132421395974234,0.6277056277056277,0.6277056277056277,0.6277056277056277,0.6277056277056277,0.9439495080150664
Datasets_all/phpyM5ND4.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,0,,,,,,,True,,5,9,,False,one_vs_one,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.084046646952629,0.9502164502164502,0.9502164502164502,0.9502164502164502,0.9502164502164502,0.7019427937921137
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,50,17,1,,,,,,0.5218483217500717,,,,,,,,,,,,,,,,,49,,,,,,,,0.11827442586893322,0.5595238095238095,0.5595238095238095,0.5595238095238095,0.5595238095238095,0.005193131044507027,0.5692640692640693,0.5692640692640693,0.5692640692640693,0.5692640692640693,0.0007416610606014729
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,entropy,,,11,12,,,,,,0.45615033221654855,,,,,,,,,,,,,,,,,82,,,,,,,,0.7781567509498505,0.28084415584415584,0.28084415584415584,0.28084415584415584,0.28084415584415584,0.007283621933311224,0.29653679653679654,0.29653679653679654,0.29653679653679654,0.29653679653679654,0.0007146110292524099
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,10,2,5,,,,,,0.6399210213275238,,,,,,,,,,,,,,,,,87,,,,,,,,0.7781567509498505,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.003771444084122777,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.000719836913049221
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,20,8,20,,,,,,0.26455561210462697,,,,,,,,,,,,,,,,,91,,,,,,,,0.08712929970154071,0.6764069264069265,0.6764069264069265,0.6764069264069265,0.6764069264069265,0.004670911002904177,0.7121212121212122,0.7121212121212122,0.7121212121212122,0.7121212121212122,0.0007694920059293509
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,70,17,12,,,,,,0.4146619399905236,,,,,,,,,,,,,,,,,49,,,,,,,,0.0,0.9507575757575758,0.9507575757575758,0.9507575757575758,0.9507575757575758,0.007073859218508005,0.9242424242424242,0.9242424242424242,0.9242424242424242,0.9242424242424242,0.0008088720496743917
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,50,5,1,,,,,,0.45615033221654855,,,,,,,,,,,,,,,,,184,,,,,,,,0.832619845547938,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.003206545952707529,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.0007084009703248739
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,10,8,20,,,,,,0.7742336894342167,,,,,,,,,,,,,,,,,35,,,,,,,,0.978618342232764,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.0040893820114433765,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.0007077408954501152
